rank	selection	uniprot	gene	protein_name	organism	chosen_pdb	matched_chain	resolution_A	method	pdb_release_date	identity	coverage	pdb_vendor_intersection	vendor_accession	vendor_range	pdb_map_uniprot_range	antigen_catalog	antigen_url	biotinylated	molecular_weight_kda	product_form	expression_host	tags	quantity_ug	concentration_mg_per_ml	price_usd	pack_size	buffer	reconstitution	storage_temp	purity_percent	endotoxin_eu_per_mg	validating_assays
244	biotin	Q9UJ71	CD207	C-type lectin domain family 4 member K	Homo sapiens	5G6U	A	1.84	X-RAY DIFFRACTION	2018-02-21	1.000	0.989	68-328	Q9UJ71.2	65-328	68-328	LAN-H82Q3	https://www.acrobiosystems.com/products/protein/langerin-human-lan-h82q3	True	33.4	Lyophilized	HEK293	Avi tag (Avitag™) at the N-terminus, polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
245	biotin	P48357	LEPR	Leptin receptor	Homo sapiens	8X85	A	3.58	ELECTRON MICROSCOPY	2024-08-07	1.000	1.000	331-634	P48357	331-634	331-634	LER-H82E3	https://www.acrobiosystems.com/products/protein/leptin-r-human-ler-h82e3	True	38.5	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
246	biotin	P09603	CSF1	Isoform 1 of Macrophage colony-stimulating factor 1	Homo sapiens	5LXF	A	2.00	X-RAY DIFFRACTION	2017-07-12	0.993	0.668	33-181	P09603-1	33-255	33-181	MCF-H82E6	https://www.acrobiosystems.com/products/protein/m-csf-human-mcf-h82e6	True	28.8	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
247	biotin	P07333	CSF1R	Isoform 1 of Macrophage colony-stimulating factor 1 receptor	Homo sapiens	4LIQ	E	2.60	X-RAY DIFFRACTION	2014-06-18	1.000	1.000	20-512	P07333-1	20-512	20-512	CSR-H82E0	https://www.acrobiosystems.com/products/protein/m-csf-r-human-csr-h82e0	True	57.1	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
248	biotin	Q29983	MICA	Isoform 1 of MHC class I polypeptide-related sequence A	Homo sapiens	1HYR	C	2.70	X-RAY DIFFRACTION	2001-05-23	1.000	0.961	24-297	Q29983-1	24-308	24-297	MIA-H82E6	https://www.acrobiosystems.com/products/protein/mica-human-mia-h82e6	True	36.4	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
249	biotin	P14174	MIF	Macrophage migration inhibitory factor	Homo sapiens	9BNQ	A	1.09	X-RAY DIFFRACTION	2024-07-24	1.000	1.000	2-115	P14174-1	2-115	2-115	MIF-H82E7	https://www.acrobiosystems.com/products/protein/mif-human-mif-h82e7	True	16.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					25 mM MES, 500 mM NaCl, pH6.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -70°C (after reconstitution)	90.0		HABA assay / binding ELISA
250	biotin	Q16671	AMHR2	Isoform 1 of Anti-Muellerian hormone type-2 receptor	Homo sapiens	7L0J	B	2.60	X-RAY DIFFRACTION	2021-06-23	1.000	0.843	18-124	Q16671-1	18-144	18-124	MII-H82E3	https://www.acrobiosystems.com/products/protein/mis-rii-human-mii-h82e3	True	17.1	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA
251	biotin	P21757	MSR1	Macrophage scavenger receptor types I and II	Homo sapiens	7DPX	A	2.00	X-RAY DIFFRACTION	2021-07-28	1.000	0.275	349-451	P21757	77-451	349-451	MS1-H82Q3	https://www.acrobiosystems.com/products/protein/msr1-human-ms1-h82q3	True	44.9	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the N-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
252	biotin	Q13421	MSLN	Mesothelin	Homo sapiens	7UED	M	3.00	X-RAY DIFFRACTION	2023-02-01	0.996	1.000	296-580	AAH09272.1	296-580	296-580	MSN-H82E9	https://www.acrobiosystems.com/products/protein/mesothelin-human-msn-h82e9	True	35.9	Lyophilized	HEK293	His, Avitag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	95.0	10.0	sterility and endotoxin tests, HABA assay / binding ELISA, SDS-PAGE
253	biotin	P15941	MUC1	Isoform 1 of Mucin-1	Homo sapiens	2ACM	A		SOLUTION NMR	2006-01-17	1.000	0.212	1041-1097	P15941-1	890-1158	1041-1097	MU1-H82E5	https://www.acrobiosystems.com/products/protein/mucin-1-human-mu1-h82e5	True		Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
254	biotin	P13591	NCAM1	Isoform 1 of Neural cell adhesion molecule 1	Homo sapiens	3MTR	A	1.80	X-RAY DIFFRACTION	2010-06-23	1.000	0.283	414-611	P13591-2	20-718	414-611	NC1-H82E3	https://www.acrobiosystems.com/products/protein/ncam-1-human-nc1-h82e3	True	81.0	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					50 mM Tris, 500 mM NaCl, pH8.0 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0	100.0	SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
255	biotin	P26718	KLRK1	NKG2-D type II integral membrane protein	Homo sapiens	1MPU	A	2.50	X-RAY DIFFRACTION	2003-04-15	0.993	0.958	79-216	P26718-1	73-216	79-216	NKD-H82Q3	https://www.acrobiosystems.com/products/protein/nkg2d-human-nkd-h82q3	True	20.2	Lyophilized	HEK293	Avitag, His Tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
256	biotin	O76036	NCR1	Isoform 6 of Natural cytotoxicity triggering receptor 1	Homo sapiens	1P6F	A	2.20	X-RAY DIFFRACTION	2003-12-09	0.996	1.000	22-254	O76036-6	22-254	22-254	NK6-H82E2	https://www.acrobiosystems.com/products/protein/nkp46-human-nk6-h82e2	True	28.3	Lyophilized	HEK293	His Tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
257	biotin	P46531	NOTCH1	Neurogenic locus notch homolog protein 1	Homo sapiens	5FM9	A	2.92	X-RAY DIFFRACTION	2016-04-20	1.000	0.305	140-294	P46531-1	19-526	140-294	NO1-H8253	https://www.acrobiosystems.com/products/protein/notch1-human-no1-h8253	True	80.0	0.2 μm filtered solution	HEK293	human IgG1 Fc tag at the C-terminus					50 mM Tris, 100 mM Glycine, 25 mM Arginine, 150 mM NaCl, pH7.5 with trehalose as protectant		-70°C or lower	90.0	1000.0	HABA assay / binding ELISA
258	biotin	P16066	NPR1	Atrial natriuretic peptide receptor 1	Homo sapiens	9BCL	A	2.90	ELECTRON MICROSCOPY	2024-11-27	1.000	1.000	33-473	P16066-1	33-473	33-473	NP1-H82E9	https://www.acrobiosystems.com/products/protein/npr1-human-np1-h82e9	True	52.5	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
259	biotin	P17342	NPR3	Isoform 1 of Atrial natriuretic peptide receptor 3	Homo sapiens	1YK0	A	2.40	X-RAY DIFFRACTION	2006-04-18	1.000	0.998	24-480	P17342-1	24-481	24-480	NP3-H82E3	https://www.acrobiosystems.com/products/protein/npr3-human-np3-h82e3	True	54.3	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
260	biotin	Q92692	NECTIN2	Isoform Alpha of Nectin-2	Homo sapiens	3R0N	A	1.30	X-RAY DIFFRACTION	2011-04-27	1.000	0.386	32-158	Q92692-2	32-360	32-158	CD2-H82F8	https://www.acrobiosystems.com/products/protein/nectin-2-human-cd2-h82f8	True	64.0	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
261	biotin	Q9NQS3	NECTIN3	Isoform 1 of Nectin-3	Homo sapiens	4FOM	A	3.93	X-RAY DIFFRACTION	2012-08-22	1.000	0.880	58-359	Q9NQS3-1	58-400	58-359	PV3-H82F3	https://www.acrobiosystems.com/products/protein/nectin-3-human-pv3-h82f3	True	66.1	Lyophilized	HEK293	Fc, Avitag					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
262	biotin	O14786	NRP1	Neuropilin-1	Homo sapiens	2QQM	A	2.00	X-RAY DIFFRACTION	2007-11-20	0.998	0.717	140-586	AAH07533.1	22-644	140-586	NR1-H82E3	https://www.acrobiosystems.com/products/protein/neuropilin-1-human-nr1-h82e3	True	73.5	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
263	biotin	O60462	NRP2	Isoform A22 of Neuropilin-2	Homo sapiens	7T4S	F	3.10	ELECTRON MICROSCOPY	2022-03-23	1.000	1.000	21-864	O60462-1	21-864	21-864	NR2-H82E3	https://www.acrobiosystems.com/products/protein/neuropilin-2-human-nr2-h82e3	True	98.7	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	90.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
264	biotin	P43489	TNFRSF4	Tumor necrosis factor receptor superfamily member 4	Homo sapiens	2HEY	R	2.00	X-RAY DIFFRACTION	2006-08-29	1.000	0.755	29-170	NP_003318.1	29-216	29-170	TN4-H82E4	https://www.acrobiosystems.com/products/protein/ox40-human-tn4-h82e4	True	22.8	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
265	biotin	P23510	TNFSF4	Isoform 1 of Tumor necrosis factor ligand superfamily member 4	Homo sapiens	2HEV	F	2.41	X-RAY DIFFRACTION	2006-08-29	0.985	1.000	51-183	P23510-1	51-183	51-183	OXL-H82Q5	https://www.acrobiosystems.com/products/protein/ox40-ligand-human-oxl-h82q5	True	51.1	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
266	biotin	P13725	OSM	Oncostatin-M	Homo sapiens	8V2A	A	3.59	ELECTRON MICROSCOPY	2024-11-20	1.000	1.000	26-221	P13725-1	26-221	26-221	OSM-H82Q8	https://www.acrobiosystems.com/products/protein/oncostatin-m-human-osm-h82q8	True	25.7	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the N-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0		HABA assay / binding ELISA
267	biotin	P10451	SPP1	Isoform 2 of Osteopontin	Homo sapiens	3CXD	P	2.80	X-RAY DIFFRACTION	2008-10-14	1.000	0.042	40-51	P10451-5	17-300	40-51	OPN-H82E8	https://www.acrobiosystems.com/products/protein/osteopontin-human-opn-h82e8	True	35.7	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	80.0		HABA assay / binding ELISA
268	biotin	Q8NBP7	PCSK9	Isoform 1 of Proprotein convertase subtilisin/kexin type 9	Homo sapiens	6U26	A	1.53	X-RAY DIFFRACTION	2019-11-06	0.997	1.000	31-692	Q8NBP7-1	31-692	31-692	PCY-H82E7	https://www.acrobiosystems.com/products/protein/pcsk9-human-pcy-h82e7	True		Lyophilized	HEK293	Avitag, His Tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -70°C (after reconstitution)	95.0		HABA assay / binding ELISA
269	biotin	Q15116	PDCD1	Programmed cell death protein 1	Homo sapiens	6K0Y	C	1.70	X-RAY DIFFRACTION	2019-12-11	0.993	1.000	25-167	Q15116-1	25-167	25-167	PD1-H82E4	https://www.acrobiosystems.com/products/protein/pd-1-human-pd1-h82e4	True	18.6	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
270	biotin	Q9NZQ7	CD274	Programmed cell death 1 ligand 1	Homo sapiens	4Z18	A	1.95	X-RAY DIFFRACTION	2015-04-15	1.000	1.000	19-238	NP_054862.1	19-238	19-238	PD1-H82E5	https://www.acrobiosystems.com/products/protein/pd-l1-human-pd1-h82e5	True	27.8	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
271	biotin	Q9BQ51	PDCD1LG2	Programmed cell death 1 ligand 2	Homo sapiens	6UMT	B	1.99	X-RAY DIFFRACTION	2019-11-27	0.981	0.520	20-123	AAI13679	20-219	20-123	PD2-H82E8	https://www.acrobiosystems.com/products/protein/pd-l2-human-pd2-h82e8	True	25.2	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
272	biotin	Q04609	FOLH1	Isoform PSMA-1 of Glutamate carboxypeptidase 2	Homo sapiens	5O5T	A	1.43	X-RAY DIFFRACTION	2018-06-13	1.000	1.000	44-750	Q04609-1	44-750	44-750	PSA-H82Qb	https://www.acrobiosystems.com/products/protein/psma-human-psa-h82qb	True	83.1	Lyophilized	HEK293	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					25 mM MES, 500 mM NaCl, pH6.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 6 months under sterile conditions after reconstitution	95.0	0.01	HABA assay / binding ELISA, SDS-PAGE, sterility and endotoxin tests
273	biotin	Q6DKI7	PVRIG	Transmembrane protein PVRIG	Homo sapiens	8X6B	B	2.00	X-RAY DIFFRACTION	2024-04-24	0.991	0.870	41-154	Q6DKI7-1	41-171	41-154	PVG-H82E3	https://www.acrobiosystems.com/products/protein/pvrig-human-pvg-h82e3	True	17.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
274	biotin	P15309	ACP3	Isoform 2 of Prostatic acid phosphatase	Homo sapiens	1ND6	A	2.40	X-RAY DIFFRACTION	2002-12-20	1.000	0.991	33-379	P15309-2	33-382	33-379	PRE-H82E9	https://www.acrobiosystems.com/products/protein/prostatic-acid-phosphatase-human-pre-h82e9	True	44.2	0.2 μm filtered solution	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					100 mM NaAC, pH5.0 with glycerol as protectant		-70°C or lower	95.0	1.0	HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
275	biotin	Q9Y6N7	ROBO1	Isoform 1 of Roundabout homolog 1	Homo sapiens	5OPE	A	2.54	X-RAY DIFFRACTION	2018-01-17	1.000	0.442	63-447	Q9Y6N7-1	26-897	63-447	RB1-H82E5	https://www.acrobiosystems.com/products/protein/robo1-human-rb1-h82e5	True	99.2	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0	0.2	SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
276	biotin	Q01973	ROR1	Isoform Long of Inactive tyrosine-protein kinase transmembrane receptor ROR1	Homo sapiens	7TNG	A	1.40	X-RAY DIFFRACTION	2022-05-11	1.000	0.219	312-393	Q01973-1	30-403	312-393	RO1-H82E6	https://www.acrobiosystems.com/products/protein/ror1-human-cynomolgus-rhesus-macaque-ro1-h82e6	True	45.7	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0	1000.0	SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
277	biotin	P21583	KITLG	Kit ligand	Homo sapiens	1SCF	A	2.20	X-RAY DIFFRACTION	2000-07-07	1.000	1.000	26-190	AAH69797	26-190	26-190	SCF-H82E1	https://www.acrobiosystems.com/products/protein/scf-human-scf-h82e1	True	21.7	Lyophilized	HEK293	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
278	biotin	P78324	SIRPA	Tyrosine-protein phosphatase non-receptor type substrate 1	Homo sapiens	2WNG	A	2.49	X-RAY DIFFRACTION	2009-07-21	0.962	0.938	31-350	NP_001035111	31-370	31-350	SIA-H82E0	https://www.acrobiosystems.com/products/protein/sirp-alpha-human-sia-h82e0	True	39.9	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
279	biotin	Q9P1W8	SIRPG	Signal-regulatory protein gamma	Homo sapiens	4I2X	E	2.48	X-RAY DIFFRACTION	2013-12-18	0.997	0.952	29-348	AAH64532.1	29-364	29-348	SIG-H82E3	https://www.acrobiosystems.com/products/protein/sirp-gamma-human-sig-h82e3	True	40.7	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
280	biotin	Q9BQB4	SOST	Sclerostin	Homo sapiens	2K8P	A		SOLUTION NMR	2009-02-17	1.000	0.995	25-213	AAI01087.1	24-213	25-213	SOT-H8245	https://www.acrobiosystems.com/products/protein/sost-human-sot-h8245	True	22.3	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
281	biotin	O43278	SPINT1	Isoform 2 of Kunitz-type protease inhibitor 1	Homo sapiens	5H7V	A	3.82	X-RAY DIFFRACTION	2017-03-29	1.000	0.981	37-441	O43278-2	37-449	37-441	SP1-H82E5	https://www.acrobiosystems.com/products/protein/spint1-human-sp1-h82e5	True	49.7	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					50 mM Tris, 150 mM NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
282	biotin	Q9UHE8	STEAP1	STEAP1 protein	Homo sapiens	6Y9B	A	2.97	ELECTRON MICROSCOPY	2020-05-20	1.000	1.000	2-339	Q9UHE8-1	2-339	2-339	ST1-H82D3	https://www.acrobiosystems.com/products/protein/steap1-human-st1-h82d3	True	44.7	0.2 μm filtered solution in 50 mM HEPES, 150 mM NaCl, Buffer A, pH7.5 with glycerol as protectant	human 293 cells (HEK293)	Flag tag at the N-terminus, polyhistidine tag at the C-terminus, Avi tag					50 mM HEPES, 150 mM NaCl, Buffer A, pH7.5 with glycerol as protectant		-70°C or lower	90.0		Quantitative ELISA binding assay against streptavidin, SDS-PAGE
283	biotin	Q8NFT2	STEAP2	Isoform 1 of Metalloreductase STEAP2	Homo sapiens	7TAI	A	3.20	ELECTRON MICROSCOPY	2023-01-25	1.000	1.000	2-490	Q8NFT2-1	2-490	2-490	ST2-H85D3	https://www.acrobiosystems.com/products/protein/steap2-human-st2-h85d3	True	59.7	0.2 μm filtered solution	Baculovirus-Insect cells	Flag tag at the C-terminus, followed by an Avi tag (Avitag™)					20 mM HEPES, 150 mM NaCl, pH7.5 with glycerol as protectant		-70°C or lower upon receipt; -70°C for 3 months under sterile conditions	90.0		HABA assay / binding ELISA, SDS-PAGE
